Year,Value,Units
2020,16.3,Home (%)
2020,14.5,Work (%)
2019,15.3,Home (%)
2019,15.9,Work (%)
2018,13.9,Home (%)
2018,11.0,Work (%)
2017,16.4,Home (%)
2017,12.6,Work (%)
2016,19.2,Home (%)
2016,19.6,Work (%)
2015,13.4,Home (%)
2015,11.5,Work (%)
2014,18.2,Home (%)
2014,16.8,Work (%)
2013,18.1,Home (%)
2013,22.0,Work (%)
2012,10.1,Home (%)
2012,11.3,Work (%)
2011,9.9,Home (%)
2011,18.2,Work (%)
2010,8.4,Home (%)
2010,19.2,Work (%)
2009,11.7,Home (%)
2009,20.5,Work (%)
2008,14.9,Home (%)
2008,21.0,Work (%)
2007,14.8,Home (%)
2007,21.2,Work (%)
2006,15.3,Home (%)
2006,22.3,Work (%)
2005,9.8,Home (%)
2005,16.2,Work (%)
2004,13.4,Home (%)
2004,26.0,Work (%)
2003,13.2,Home (%)
2003,24.0,Work (%)
2002,20.1,Home (%)
2002,27.0,Work (%)
2001,24.5,Work (%)
2000,27.2,Work (%)
1999,26.4,Work (%)
1998,22.9,Work (%)
1997,27.1,Work (%)
