Year,Value,Units
2004,32.4,Public Sector
2005,32.9,Public Sector
2006,31.2,Public Sector
2007,28.8,Public Sector
2008,30.5,Public Sector
2009,32.4,Public Sector
2010,30.2,Public Sector
2011,25.9,Public Sector
2012,27.4,Public Sector
2013,28.1,Public Sector
2014,28.3,Public Sector
2015,26.6,Public Sector
2016,27.5,Public Sector
2017,29.8,Public Sector
2018,27.8,Public Sector
2019,25.5,Public Sector
2020,32.6,Public Sector
2004,67.6,Private Sector
2005,67.1,Private Sector
2006,68.8,Private Sector
2007,71.2,Private Sector
2008,69.5,Private Sector
2009,67.6,Private Sector
2010,69.8,Private Sector
2011,74.1,Private Sector
2012,72.6,Private Sector
2013,71.9,Private Sector
2014,71.7,Private Sector
2015,73.4,Private Sector
2016,72.5,Private Sector
2017,70.2,Private Sector
2018,72.2,Private Sector
2019,74.5,Private Sector
2020,67.4,Private Sector
